BATCH 72 training acc=0.718750, cost=0.519962, test acc=0.785587, cost=0.495598, disagree_f1=0.536722, neural_f1=0.935772, agree_f1=0.469736, average_f1=0.647410
BATCH 73 training acc=0.593750, cost=0.814288, test acc=0.791912, cost=0.492074, disagree_f1=0.590845, neural_f1=0.934987, agree_f1=0.450097, average_f1=0.658643
BATCH 74 training acc=0.843750, cost=0.505625, test acc=0.795386, cost=0.490639, disagree_f1=0.629218, neural_f1=0.932957, agree_f1=0.429825, average_f1=0.664000
BATCH 75 training acc=0.625000, cost=0.782419, test acc=0.789952, cost=0.511979, disagree_f1=0.650995, neural_f1=0.926254, agree_f1=0.408007, average_f1=0.661752
BATCH 76 training acc=0.562500, cost=0.690688, test acc=0.776679, cost=0.549449, disagree_f1=0.660604, neural_f1=0.914794, agree_f1=0.388295, average_f1=0.654564
BATCH 77 training acc=0.687500, cost=0.786877, test acc=0.768929, cost=0.571025, disagree_f1=0.656549, neural_f1=0.908765, agree_f1=0.388108, average_f1=0.651141
BATCH 78 training acc=0.781250, cost=0.587372, test acc=0.753519, cost=0.606803, disagree_f1=0.635662, neural_f1=0.899847, agree_f1=0.388847, average_f1=0.641452
BATCH 79 training acc=0.687500, cost=0.552212, test acc=0.755389, cost=0.600858, disagree_f1=0.624697, neural_f1=0.903086, agree_f1=0.399312, average_f1=0.642365
BATCH 80 training acc=0.593750, cost=0.804878, test acc=0.758507, cost=0.590300, disagree_f1=0.607313, neural_f1=0.908179, agree_f1=0.411420, average_f1=0.642304
BATCH 81 training acc=0.562500, cost=0.849710, test acc=0.770711, cost=0.554275, disagree_f1=0.594381, neural_f1=0.919163, agree_f1=0.430233, average_f1=0.647926
BATCH 82 training acc=0.781250, cost=0.483806, test acc=0.781757, cost=0.520778, disagree_f1=0.578457, neural_f1=0.928196, agree_f1=0.449462, average_f1=0.652038
BATCH 83 training acc=0.593750, cost=0.639461, test acc=0.788170, cost=0.498366, disagree_f1=0.579149, neural_f1=0.931588, agree_f1=0.457360, average_f1=0.656032
BATCH 84 training acc=0.656250, cost=0.588998, test acc=0.785587, cost=0.500181, disagree_f1=0.568798, neural_f1=0.930814, agree_f1=0.462192, average_f1=0.653935
BATCH 85 training acc=0.656250, cost=0.640309, test acc=0.783984, cost=0.504452, disagree_f1=0.576198, neural_f1=0.929683, agree_f1=0.458377, average_f1=0.654753
BATCH 86 training acc=0.656250, cost=0.596843, test acc=0.784518, cost=0.500518, disagree_f1=0.572934, neural_f1=0.931049, agree_f1=0.459111, average_f1=0.654365
BATCH 87 training acc=0.656250, cost=0.813696, test acc=0.781846, cost=0.507700, disagree_f1=0.578364, neural_f1=0.928482, agree_f1=0.457366, average_f1=0.654738
BATCH 88 training acc=0.437500, cost=0.855219, test acc=0.783984, cost=0.504287, disagree_f1=0.585925, neural_f1=0.929407, agree_f1=0.458147, average_f1=0.657826
BATCH 89 training acc=0.687500, cost=0.715348, test acc=0.791644, cost=0.490052, disagree_f1=0.610732, neural_f1=0.931985, agree_f1=0.451327, average_f1=0.664682
BATCH 90 training acc=0.656250, cost=0.486888, test acc=0.794851, cost=0.483136, disagree_f1=0.618501, neural_f1=0.933167, agree_f1=0.450847, average_f1=0.667505
BATCH 91 training acc=0.718750, cost=0.582791, test acc=0.797613, cost=0.482677, disagree_f1=0.635453, neural_f1=0.932760, agree_f1=0.446709, average_f1=0.671641
BATCH 92 training acc=0.750000, cost=0.587481, test acc=0.793070, cost=0.501116, disagree_f1=0.639522, neural_f1=0.928946, agree_f1=0.441887, average_f1=0.670119
BATCH 93 training acc=0.718750, cost=0.502542, test acc=0.782202, cost=0.529797, disagree_f1=0.630799, neural_f1=0.921224, agree_f1=0.437068, average_f1=0.663030
BATCH 94 training acc=0.781250, cost=0.491532, test acc=0.774007, cost=0.542789, disagree_f1=0.613946, neural_f1=0.915859, agree_f1=0.441998, average_f1=0.657267
BATCH 95 training acc=0.750000, cost=0.494936, test acc=0.773740, cost=0.535233, disagree_f1=0.610491, neural_f1=0.915283, agree_f1=0.443597, average_f1=0.656457
BATCH 96 training acc=0.718750, cost=0.706606, test acc=0.790486, cost=0.510046, disagree_f1=0.631758, neural_f1=0.926870, agree_f1=0.450696, average_f1=0.669775
BATCH 97 training acc=0.687500, cost=0.710826, test acc=0.802601, cost=0.481008, disagree_f1=0.645052, neural_f1=0.933158, agree_f1=0.451929, average_f1=0.676713
BATCH 98 training acc=0.625000, cost=0.670712, test acc=0.807679, cost=0.468636, disagree_f1=0.651638, neural_f1=0.935679, agree_f1=0.449019, average_f1=0.678779
BATCH 99 training acc=0.875000, cost=0.469325, test acc=0.812667, cost=0.458326, disagree_f1=0.654056, neural_f1=0.938442, agree_f1=0.452231, average_f1=0.681576
BATCH 100 training acc=0.812500, cost=0.569729, test acc=0.811242, cost=0.459081, disagree_f1=0.651746, neural_f1=0.937811, agree_f1=0.450033, average_f1=0.679864
BATCH 101 training acc=0.656250, cost=0.822335, test acc=0.807946, cost=0.466889, disagree_f1=0.643659, neural_f1=0.936325, agree_f1=0.460856, average_f1=0.680280
BATCH 102 training acc=0.531250, cost=1.160900, test acc=0.792268, cost=0.490149, disagree_f1=0.622222, neural_f1=0.926063, agree_f1=0.463233, average_f1=0.670506
BATCH 103 training acc=0.562500, cost=0.766510, test acc=0.767682, cost=0.536664, disagree_f1=0.584138, neural_f1=0.911950, agree_f1=0.458040, average_f1=0.651376
BATCH 104 training acc=0.750000, cost=0.835396, test acc=0.755746, cost=0.567003, disagree_f1=0.559377, neural_f1=0.907254, agree_f1=0.455964, average_f1=0.640865
BATCH 105 training acc=0.781250, cost=0.583628, test acc=0.743720, cost=0.597279, disagree_f1=0.548380, neural_f1=0.898881, agree_f1=0.450670, average_f1=0.632644
BATCH 106 training acc=0.718750, cost=0.672648, test acc=0.747016, cost=0.591562, disagree_f1=0.560432, neural_f1=0.899569, agree_f1=0.450677, average_f1=0.636893
BATCH 107 training acc=0.656250, cost=0.651034, test acc=0.756102, cost=0.569381, disagree_f1=0.584227, neural_f1=0.903938, agree_f1=0.446760, average_f1=0.644975
BATCH 108 training acc=0.843750, cost=0.543230, test acc=0.785053, cost=0.525080, disagree_f1=0.630827, neural_f1=0.921865, agree_f1=0.453459, average_f1=0.668717
BATCH 109 training acc=0.781250, cost=0.584142, test acc=0.800998, cost=0.487390, disagree_f1=0.656729, neural_f1=0.930294, agree_f1=0.453751, average_f1=0.680258
BATCH 110 training acc=0.625000, cost=0.653068, test acc=0.813023, cost=0.457940, disagree_f1=0.663300, neural_f1=0.937962, agree_f1=0.453488, average_f1=0.684917
BATCH 111 training acc=0.656250, cost=0.624493, test acc=0.817299, cost=0.446939, disagree_f1=0.656614, neural_f1=0.939359, agree_f1=0.460972, average_f1=0.685648
BATCH 112 training acc=0.656250, cost=0.626857, test acc=0.817388, cost=0.443478, disagree_f1=0.656014, neural_f1=0.937999, agree_f1=0.454859, average_f1=0.682957
BATCH 113 training acc=0.500000, cost=0.971678, test acc=0.817388, cost=0.443733, disagree_f1=0.658500, neural_f1=0.938328, agree_f1=0.455973, average_f1=0.684267
BATCH 114 training acc=0.750000, cost=0.589056, test acc=0.812400, cost=0.450900, disagree_f1=0.657192, neural_f1=0.936914, agree_f1=0.453841, average_f1=0.682649
BATCH 115 training acc=0.625000, cost=0.674185, test acc=0.809104, cost=0.461373, disagree_f1=0.664546, neural_f1=0.935830, agree_f1=0.448319, average_f1=0.682898
BATCH 116 training acc=0.687500, cost=0.552093, test acc=0.802512, cost=0.480088, disagree_f1=0.670116, neural_f1=0.930688, agree_f1=0.441354, average_f1=0.680719
BATCH 117 training acc=0.812500, cost=0.499525, test acc=0.791823, cost=0.509800, disagree_f1=0.676565, neural_f1=0.920558, agree_f1=0.430994, average_f1=0.676039
BATCH 118 training acc=0.750000, cost=0.663665, test acc=0.785231, cost=0.528462, disagree_f1=0.675246, neural_f1=0.914860, agree_f1=0.430544, average_f1=0.673550
