Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 99 training acc=0.750000, cost=0.560782, test acc=0.788705, cost=0.542686, disagree_f1=0.673240, neural_f1=0.912850, agree_f1=0.457259, average_f1=0.681116
BATCH 100 training acc=0.656250, cost=1.047305, test acc=0.775521, cost=0.567707, disagree_f1=0.666166, neural_f1=0.900982, agree_f1=0.437740, average_f1=0.668296
BATCH 101 training acc=0.593750, cost=0.952667, test acc=0.777392, cost=0.571007, disagree_f1=0.674227, neural_f1=0.899512, agree_f1=0.436542, average_f1=0.670094
BATCH 102 training acc=0.687500, cost=0.559000, test acc=0.783093, cost=0.559592, disagree_f1=0.681730, neural_f1=0.902448, agree_f1=0.429139, average_f1=0.671106
BATCH 103 training acc=0.718750, cost=0.665676, test acc=0.794317, cost=0.532156, disagree_f1=0.696633, neural_f1=0.909196, agree_f1=0.425972, average_f1=0.677267
BATCH 104 training acc=0.718750, cost=0.520042, test acc=0.807411, cost=0.504208, disagree_f1=0.708099, neural_f1=0.919929, agree_f1=0.429366, average_f1=0.685798
BATCH 105 training acc=0.531250, cost=0.859280, test acc=0.822644, cost=0.469935, disagree_f1=0.714418, neural_f1=0.933454, agree_f1=0.452635, average_f1=0.700169
BATCH 106 training acc=0.906250, cost=0.402972, test acc=0.827454, cost=0.448871, disagree_f1=0.709119, neural_f1=0.937651, agree_f1=0.468054, average_f1=0.704941
BATCH 107 training acc=0.593750, cost=0.586885, test acc=0.831552, cost=0.434474, disagree_f1=0.709298, neural_f1=0.940718, agree_f1=0.471976, average_f1=0.707331
BATCH 108 training acc=0.718750, cost=0.827339, test acc=0.835115, cost=0.427336, disagree_f1=0.709600, neural_f1=0.943125, agree_f1=0.480500, average_f1=0.711075
