Using GPU: 1...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.343750, cost=1.099054, test acc=0.233565, cost=1.125920, disagree_f1=0.378593, neural_f1=0.000000, agree_f1=0.001513, average_f1=0.126702
BATCH 294 training acc=0.843750, cost=0.356381, test acc=0.842865, cost=0.408101, disagree_f1=0.734949, neural_f1=0.940803, agree_f1=0.511554, average_f1=0.729102
BATCH 295 training acc=0.781250, cost=0.687708, test acc=0.844825, cost=0.402348, disagree_f1=0.736686, neural_f1=0.942173, agree_f1=0.515488, average_f1=0.731449
BATCH 296 training acc=0.656250, cost=0.589173, test acc=0.842419, cost=0.404719, disagree_f1=0.733958, neural_f1=0.940875, agree_f1=0.515674, average_f1=0.730169
BATCH 297 training acc=0.656250, cost=0.634452, test acc=0.836986, cost=0.414164, disagree_f1=0.729030, neural_f1=0.937121, agree_f1=0.517620, average_f1=0.727924
BATCH 298 training acc=0.750000, cost=0.553631, test acc=0.831641, cost=0.425305, disagree_f1=0.720252, neural_f1=0.934897, agree_f1=0.523708, average_f1=0.726286
BATCH 299 training acc=0.843750, cost=0.426907, test acc=0.820595, cost=0.449773, disagree_f1=0.701324, neural_f1=0.930130, agree_f1=0.525104, average_f1=0.718853
BATCH 300 training acc=0.750000, cost=0.593292, test acc=0.799840, cost=0.488237, disagree_f1=0.671484, neural_f1=0.917666, agree_f1=0.520367, average_f1=0.703172
BATCH 301 training acc=0.812500, cost=0.532561, test acc=0.779708, cost=0.530344, disagree_f1=0.653703, neural_f1=0.903791, agree_f1=0.503178, average_f1=0.686891
BATCH 302 training acc=0.875000, cost=0.450281, test acc=0.770087, cost=0.570692, disagree_f1=0.655443, neural_f1=0.893601, agree_f1=0.494781, average_f1=0.681275
BATCH 303 training acc=0.562500, cost=1.013460, test acc=0.776768, cost=0.561819, disagree_f1=0.672737, neural_f1=0.894705, agree_f1=0.497678, average_f1=0.688374
BATCH 304 training acc=0.906250, cost=0.350228, test acc=0.795564, cost=0.523984, disagree_f1=0.695221, neural_f1=0.908516, agree_f1=0.504261, average_f1=0.702666
BATCH 305 training acc=0.812500, cost=0.474399, test acc=0.812489, cost=0.472094, disagree_f1=0.712299, neural_f1=0.921034, agree_f1=0.507339, average_f1=0.713557
BATCH 306 training acc=0.875000, cost=0.406207, test acc=0.827900, cost=0.432228, disagree_f1=0.728748, neural_f1=0.932002, agree_f1=0.507729, average_f1=0.722826
BATCH 307 training acc=0.781250, cost=0.505751, test acc=0.833957, cost=0.420157, disagree_f1=0.733983, neural_f1=0.936063, agree_f1=0.510175, average_f1=0.726740
BATCH 308 training acc=0.781250, cost=0.493208, test acc=0.841172, cost=0.406667, disagree_f1=0.738031, neural_f1=0.940289, agree_f1=0.519265, average_f1=0.732529
BATCH 309 training acc=0.781250, cost=0.489042, test acc=0.848477, cost=0.398383, disagree_f1=0.740232, neural_f1=0.944649, agree_f1=0.528821, average_f1=0.737901
BATCH 310 training acc=0.750000, cost=0.575061, test acc=0.847497, cost=0.402590, disagree_f1=0.732406, neural_f1=0.944219, agree_f1=0.532157, average_f1=0.736261
BATCH 311 training acc=0.750000, cost=0.706277, test acc=0.845893, cost=0.405281, disagree_f1=0.720515, neural_f1=0.943760, agree_f1=0.541413, average_f1=0.735229
BATCH 312 training acc=0.687500, cost=0.606674, test acc=0.839747, cost=0.409010, disagree_f1=0.695709, neural_f1=0.944025, agree_f1=0.546844, average_f1=0.728859
BATCH 313 training acc=0.687500, cost=0.586438, test acc=0.832264, cost=0.412426, disagree_f1=0.671000, neural_f1=0.945255, agree_f1=0.541090, average_f1=0.719115
BATCH 314 training acc=0.656250, cost=0.865054, test acc=0.825851, cost=0.421571, disagree_f1=0.654811, neural_f1=0.945099, agree_f1=0.539040, average_f1=0.712983
BATCH 315 training acc=0.718750, cost=0.646519, test acc=0.816230, cost=0.440236, disagree_f1=0.651299, neural_f1=0.939600, agree_f1=0.527187, average_f1=0.706029
BATCH 316 training acc=0.875000, cost=0.624236, test acc=0.806342, cost=0.466656, disagree_f1=0.656482, neural_f1=0.930384, agree_f1=0.519215, average_f1=0.702027
BATCH 317 training acc=0.718750, cost=0.725076, test acc=0.798325, cost=0.489352, disagree_f1=0.672701, neural_f1=0.919416, agree_f1=0.506522, average_f1=0.699546
BATCH 318 training acc=0.781250, cost=0.374480, test acc=0.796989, cost=0.504213, disagree_f1=0.698102, neural_f1=0.910004, agree_f1=0.499713, average_f1=0.702606
BATCH 319 training acc=0.781250, cost=0.484440, test acc=0.797613, cost=0.505077, disagree_f1=0.713851, neural_f1=0.905525, agree_f1=0.483468, average_f1=0.700948
BATCH 320 training acc=0.781250, cost=0.479533, test acc=0.792268, cost=0.516582, disagree_f1=0.715414, neural_f1=0.898784, agree_f1=0.466514, average_f1=0.693571
BATCH 321 training acc=0.718750, cost=0.538804, test acc=0.790932, cost=0.522375, disagree_f1=0.719265, neural_f1=0.897000, agree_f1=0.457030, average_f1=0.691099
BATCH 322 training acc=0.718750, cost=0.615159, test acc=0.785943, cost=0.533428, disagree_f1=0.716186, neural_f1=0.893128, agree_f1=0.459705, average_f1=0.689673
BATCH 323 training acc=0.687500, cost=0.640124, test acc=0.785320, cost=0.535130, disagree_f1=0.711687, neural_f1=0.895111, agree_f1=0.469550, average_f1=0.692116
BATCH 324 training acc=0.750000, cost=0.653021, test acc=0.785053, cost=0.535844, disagree_f1=0.696616, neural_f1=0.901574, agree_f1=0.481163, average_f1=0.693118
BATCH 325 training acc=0.718750, cost=0.560896, test acc=0.789417, cost=0.520662, disagree_f1=0.689627, neural_f1=0.908733, agree_f1=0.488152, average_f1=0.695504
BATCH 326 training acc=0.687500, cost=0.655724, test acc=0.799751, cost=0.499370, disagree_f1=0.694416, neural_f1=0.917459, agree_f1=0.497443, average_f1=0.703106
BATCH 327 training acc=0.718750, cost=0.561285, test acc=0.812667, cost=0.467098, disagree_f1=0.705107, neural_f1=0.926139, agree_f1=0.508359, average_f1=0.713202
BATCH 328 training acc=0.750000, cost=0.557055, test acc=0.828879, cost=0.434358, disagree_f1=0.726501, neural_f1=0.935332, agree_f1=0.515470, average_f1=0.725768
BATCH 329 training acc=0.750000, cost=0.481311, test acc=0.834937, cost=0.417193, disagree_f1=0.730761, neural_f1=0.938520, agree_f1=0.520927, average_f1=0.730070
BATCH 330 training acc=0.687500, cost=0.720480, test acc=0.834670, cost=0.415568, disagree_f1=0.726344, neural_f1=0.939310, agree_f1=0.520960, average_f1=0.728871
BATCH 331 training acc=0.718750, cost=0.619335, test acc=0.831997, cost=0.424498, disagree_f1=0.720463, neural_f1=0.938330, agree_f1=0.525958, average_f1=0.728250
BATCH 332 training acc=0.812500, cost=0.436852, test acc=0.829147, cost=0.433149, disagree_f1=0.719636, neural_f1=0.936369, agree_f1=0.524531, average_f1=0.726845
BATCH 333 training acc=0.812500, cost=0.524633, test acc=0.828790, cost=0.437683, disagree_f1=0.728810, neural_f1=0.934447, agree_f1=0.517146, average_f1=0.726801
BATCH 334 training acc=0.718750, cost=0.623106, test acc=0.830216, cost=0.438269, disagree_f1=0.742141, neural_f1=0.933249, agree_f1=0.503896, average_f1=0.726429
BATCH 335 training acc=0.781250, cost=0.609656, test acc=0.831106, cost=0.435951, disagree_f1=0.747901, neural_f1=0.932609, agree_f1=0.491444, average_f1=0.723985
BATCH 336 training acc=0.781250, cost=0.517753, test acc=0.827900, cost=0.443720, disagree_f1=0.749955, neural_f1=0.929605, agree_f1=0.468896, average_f1=0.716152
BATCH 337 training acc=0.750000, cost=0.584773, test acc=0.827454, cost=0.443907, disagree_f1=0.750562, neural_f1=0.929641, agree_f1=0.442293, average_f1=0.707499
BATCH 338 training acc=0.750000, cost=0.628178, test acc=0.826652, cost=0.445878, disagree_f1=0.749154, neural_f1=0.929581, agree_f1=0.425739, average_f1=0.701491
BATCH 339 training acc=0.750000, cost=0.539768, test acc=0.826296, cost=0.445754, disagree_f1=0.748389, neural_f1=0.929333, agree_f1=0.428457, average_f1=0.702060
BATCH 340 training acc=0.781250, cost=0.503633, test acc=0.822644, cost=0.459177, disagree_f1=0.746269, neural_f1=0.925807, agree_f1=0.438154, average_f1=0.703410
BATCH 341 training acc=0.843750, cost=0.486266, test acc=0.822377, cost=0.464423, disagree_f1=0.744984, neural_f1=0.924754, agree_f1=0.458209, average_f1=0.709316
BATCH 342 training acc=0.687500, cost=0.576157, test acc=0.821575, cost=0.469094, disagree_f1=0.741106, neural_f1=0.924480, agree_f1=0.478200, average_f1=0.714595
BATCH 343 training acc=0.781250, cost=0.621116, test acc=0.818012, cost=0.483138, disagree_f1=0.731885, neural_f1=0.922911, agree_f1=0.499838, average_f1=0.718211
BATCH 344 training acc=0.718750, cost=0.572032, test acc=0.815963, cost=0.479222, disagree_f1=0.722129, neural_f1=0.923564, agree_f1=0.505611, average_f1=0.717101
BATCH 345 training acc=0.750000, cost=0.544630, test acc=0.815161, cost=0.472489, disagree_f1=0.712233, neural_f1=0.926470, agree_f1=0.507946, average_f1=0.715550
BATCH 346 training acc=0.843750, cost=0.456302, test acc=0.817923, cost=0.459319, disagree_f1=0.702398, neural_f1=0.930758, agree_f1=0.519953, average_f1=0.717703
BATCH 347 training acc=0.843750, cost=0.431144, test acc=0.824158, cost=0.441318, disagree_f1=0.702966, neural_f1=0.935304, agree_f1=0.528722, average_f1=0.722331
BATCH 348 training acc=0.781250, cost=0.687108, test acc=0.833066, cost=0.420047, disagree_f1=0.706614, neural_f1=0.942149, agree_f1=0.535604, average_f1=0.728122
BATCH 349 training acc=0.843750, cost=0.477695, test acc=0.841974, cost=0.400752, disagree_f1=0.722394, neural_f1=0.944041, agree_f1=0.541488, average_f1=0.735974
BATCH 350 training acc=0.593750, cost=0.773949, test acc=0.843756, cost=0.392961, disagree_f1=0.724964, neural_f1=0.943491, agree_f1=0.536619, average_f1=0.735025
BATCH 351 training acc=0.718750, cost=0.754649, test acc=0.848566, cost=0.387507, disagree_f1=0.734942, neural_f1=0.942801, agree_f1=0.535474, average_f1=0.737739
BATCH 352 training acc=0.593750, cost=0.844527, test acc=0.851416, cost=0.384337, disagree_f1=0.743335, neural_f1=0.943214, agree_f1=0.525316, average_f1=0.737288
BATCH 353 training acc=0.625000, cost=0.766897, test acc=0.852396, cost=0.384302, disagree_f1=0.747499, neural_f1=0.943891, agree_f1=0.521076, average_f1=0.737489
BATCH 354 training acc=0.750000, cost=0.543843, test acc=0.851595, cost=0.387172, disagree_f1=0.744866, neural_f1=0.944591, agree_f1=0.525865, average_f1=0.738441
BATCH 355 training acc=0.718750, cost=0.405458, test acc=0.852753, cost=0.392414, disagree_f1=0.749564, neural_f1=0.946515, agree_f1=0.529862, average_f1=0.741980
BATCH 356 training acc=0.750000, cost=0.505035, test acc=0.847408, cost=0.404197, disagree_f1=0.744916, neural_f1=0.945076, agree_f1=0.527718, average_f1=0.739237
BATCH 357 training acc=0.718750, cost=0.635492, test acc=0.844914, cost=0.413287, disagree_f1=0.737340, neural_f1=0.945120, agree_f1=0.534204, average_f1=0.738888
BATCH 358 training acc=0.687500, cost=0.607343, test acc=0.840371, cost=0.419856, disagree_f1=0.725696, neural_f1=0.943979, agree_f1=0.536521, average_f1=0.735399
BATCH 359 training acc=0.687500, cost=0.583642, test acc=0.837431, cost=0.421890, disagree_f1=0.720162, neural_f1=0.943135, agree_f1=0.532128, average_f1=0.731808
BATCH 360 training acc=0.687500, cost=0.598485, test acc=0.837075, cost=0.427934, disagree_f1=0.723379, neural_f1=0.942306, agree_f1=0.531260, average_f1=0.732315
BATCH 361 training acc=0.812500, cost=0.437245, test acc=0.838678, cost=0.427538, disagree_f1=0.729208, neural_f1=0.941644, agree_f1=0.535091, average_f1=0.735314
BATCH 362 training acc=0.843750, cost=0.418517, test acc=0.842508, cost=0.417539, disagree_f1=0.740399, neural_f1=0.941938, agree_f1=0.531250, average_f1=0.737863
BATCH 363 training acc=0.781250, cost=0.608271, test acc=0.844825, cost=0.417018, disagree_f1=0.752684, neural_f1=0.941234, agree_f1=0.520206, average_f1=0.738041
BATCH 364 training acc=0.906250, cost=0.334140, test acc=0.845092, cost=0.416218, disagree_f1=0.759269, neural_f1=0.940625, agree_f1=0.494436, average_f1=0.731443
BATCH 365 training acc=0.656250, cost=0.473188, test acc=0.844914, cost=0.417192, disagree_f1=0.761474, neural_f1=0.940427, agree_f1=0.478675, average_f1=0.726859
BATCH 366 training acc=0.687500, cost=0.643234, test acc=0.846250, cost=0.411673, disagree_f1=0.762004, neural_f1=0.941135, agree_f1=0.479228, average_f1=0.727456
BATCH 367 training acc=0.718750, cost=0.573078, test acc=0.846428, cost=0.405109, disagree_f1=0.759194, neural_f1=0.942348, agree_f1=0.483155, average_f1=0.728232
BATCH 368 training acc=0.812500, cost=0.477242, test acc=0.847141, cost=0.397415, disagree_f1=0.756014, neural_f1=0.942776, agree_f1=0.498005, average_f1=0.732265
BATCH 369 training acc=0.781250, cost=0.394621, test acc=0.848388, cost=0.392339, disagree_f1=0.751792, neural_f1=0.943957, agree_f1=0.523330, average_f1=0.739693
BATCH 370 training acc=0.781250, cost=0.729762, test acc=0.845270, cost=0.395084, disagree_f1=0.738516, neural_f1=0.944448, agree_f1=0.533659, average_f1=0.738874
BATCH 371 training acc=0.718750, cost=0.556171, test acc=0.841261, cost=0.400262, disagree_f1=0.721041, neural_f1=0.945622, agree_f1=0.538137, average_f1=0.734933
BATCH 372 training acc=0.593750, cost=0.929355, test acc=0.837698, cost=0.404205, disagree_f1=0.705403, neural_f1=0.946024, agree_f1=0.539988, average_f1=0.730472
BATCH 373 training acc=0.781250, cost=0.419164, test acc=0.835828, cost=0.407276, disagree_f1=0.698171, neural_f1=0.946191, agree_f1=0.539210, average_f1=0.727857
BATCH 374 training acc=0.875000, cost=0.414959, test acc=0.829503, cost=0.415693, disagree_f1=0.677485, neural_f1=0.945697, agree_f1=0.536487, average_f1=0.719890
BATCH 375 training acc=0.750000, cost=0.553135, test acc=0.820595, cost=0.428730, disagree_f1=0.659604, neural_f1=0.943464, agree_f1=0.526373, average_f1=0.709814
BATCH 376 training acc=0.625000, cost=0.878776, test acc=0.811954, cost=0.444933, disagree_f1=0.646053, neural_f1=0.940036, agree_f1=0.518094, average_f1=0.701394
BATCH 377 training acc=0.781250, cost=0.426342, test acc=0.805095, cost=0.464002, disagree_f1=0.651872, neural_f1=0.934188, agree_f1=0.507880, average_f1=0.697980
BATCH 378 training acc=0.781250, cost=0.492419, test acc=0.802868, cost=0.481978, disagree_f1=0.675464, neural_f1=0.929233, agree_f1=0.496569, average_f1=0.700422
BATCH 379 training acc=0.750000, cost=0.516898, test acc=0.799038, cost=0.508410, disagree_f1=0.701460, neural_f1=0.920612, agree_f1=0.486802, average_f1=0.702958
BATCH 380 training acc=0.687500, cost=0.510646, test acc=0.792446, cost=0.534846, disagree_f1=0.711779, neural_f1=0.912847, agree_f1=0.473764, average_f1=0.699463
BATCH 381 training acc=0.781250, cost=0.573418, test acc=0.793426, cost=0.537210, disagree_f1=0.719442, neural_f1=0.911457, agree_f1=0.471916, average_f1=0.700938
BATCH 382 training acc=0.812500, cost=0.501392, test acc=0.797078, cost=0.526707, disagree_f1=0.722541, neural_f1=0.914019, agree_f1=0.474532, average_f1=0.703697
BATCH 383 training acc=0.750000, cost=0.541639, test acc=0.806431, cost=0.498645, disagree_f1=0.724223, neural_f1=0.921136, agree_f1=0.484290, average_f1=0.709883
BATCH 384 training acc=0.812500, cost=0.461410, test acc=0.811153, cost=0.475830, disagree_f1=0.717757, neural_f1=0.926016, agree_f1=0.495493, average_f1=0.713089
BATCH 385 training acc=0.843750, cost=0.423377, test acc=0.817745, cost=0.452022, disagree_f1=0.708413, neural_f1=0.932815, agree_f1=0.508051, average_f1=0.716427
BATCH 386 training acc=0.625000, cost=0.619748, test acc=0.826385, cost=0.428323, disagree_f1=0.703800, neural_f1=0.939764, agree_f1=0.523905, average_f1=0.722490
BATCH 387 training acc=0.750000, cost=0.541207, test acc=0.831195, cost=0.416996, disagree_f1=0.705451, neural_f1=0.942146, agree_f1=0.529899, average_f1=0.725832
BATCH 388 training acc=0.843750, cost=0.591557, test acc=0.839391, cost=0.404217, disagree_f1=0.720169, neural_f1=0.944169, agree_f1=0.537031, average_f1=0.733790
BATCH 389 training acc=0.843750, cost=0.395657, test acc=0.845715, cost=0.394675, disagree_f1=0.737122, neural_f1=0.944703, agree_f1=0.535278, average_f1=0.739034
BATCH 390 training acc=0.812500, cost=0.577572, test acc=0.848477, cost=0.391165, disagree_f1=0.742649, neural_f1=0.944971, agree_f1=0.535714, average_f1=0.741111
BATCH 391 training acc=0.718750, cost=0.667148, test acc=0.846873, cost=0.393945, disagree_f1=0.738154, neural_f1=0.944706, agree_f1=0.534441, average_f1=0.739100
BATCH 392 training acc=0.750000, cost=0.649792, test acc=0.843666, cost=0.399767, disagree_f1=0.735426, neural_f1=0.943515, agree_f1=0.530764, average_f1=0.736568
BATCH 393 training acc=0.687500, cost=0.752124, test acc=0.841083, cost=0.406416, disagree_f1=0.736502, neural_f1=0.941849, agree_f1=0.525226, average_f1=0.734525
BATCH 394 training acc=0.718750, cost=0.530022, test acc=0.837431, cost=0.416665, disagree_f1=0.738314, neural_f1=0.938931, agree_f1=0.519104, average_f1=0.732116
BATCH 395 training acc=0.562500, cost=0.829180, test acc=0.836006, cost=0.422201, disagree_f1=0.741281, neural_f1=0.937160, agree_f1=0.519149, average_f1=0.732530
BATCH 396 training acc=0.937500, cost=0.304739, test acc=0.838233, cost=0.418227, disagree_f1=0.746835, neural_f1=0.937277, agree_f1=0.518216, average_f1=0.734109
BATCH 397 training acc=0.656250, cost=0.652362, test acc=0.840727, cost=0.412456, disagree_f1=0.746428, neural_f1=0.938590, agree_f1=0.524887, average_f1=0.736635
BATCH 398 training acc=0.750000, cost=0.565790, test acc=0.841172, cost=0.413812, disagree_f1=0.752226, neural_f1=0.937636, agree_f1=0.517129, average_f1=0.735664
BATCH 399 training acc=0.812500, cost=0.552051, test acc=0.842776, cost=0.410599, disagree_f1=0.753041, neural_f1=0.938644, agree_f1=0.516937, average_f1=0.736207
BATCH 400 training acc=0.656250, cost=0.547754, test acc=0.844379, cost=0.410073, disagree_f1=0.750561, neural_f1=0.939954, agree_f1=0.530199, average_f1=0.740238
BATCH 401 training acc=0.781250, cost=0.412548, test acc=0.845359, cost=0.405019, disagree_f1=0.750513, neural_f1=0.940587, agree_f1=0.528871, average_f1=0.739990
BATCH 402 training acc=0.656250, cost=0.614418, test acc=0.845537, cost=0.406743, disagree_f1=0.748250, neural_f1=0.941037, agree_f1=0.536831, average_f1=0.742040
BATCH 403 training acc=0.843750, cost=0.582219, test acc=0.845804, cost=0.407777, disagree_f1=0.749953, neural_f1=0.940554, agree_f1=0.537821, average_f1=0.742776
BATCH 404 training acc=0.843750, cost=0.333173, test acc=0.844201, cost=0.410878, disagree_f1=0.743575, neural_f1=0.941234, agree_f1=0.539302, average_f1=0.741370
BATCH 405 training acc=0.687500, cost=0.662226, test acc=0.839747, cost=0.420039, disagree_f1=0.735129, neural_f1=0.939917, agree_f1=0.541750, average_f1=0.738932
BATCH 406 training acc=0.750000, cost=0.586678, test acc=0.839925, cost=0.419679, disagree_f1=0.731918, neural_f1=0.941209, agree_f1=0.543721, average_f1=0.738950
BATCH 407 training acc=0.687500, cost=0.541358, test acc=0.838500, cost=0.420190, disagree_f1=0.729944, neural_f1=0.940544, agree_f1=0.543990, average_f1=0.738159
BATCH 408 training acc=0.687500, cost=0.573042, test acc=0.838411, cost=0.417913, disagree_f1=0.732951, neural_f1=0.940338, agree_f1=0.537837, average_f1=0.737042
BATCH 409 training acc=0.843750, cost=0.580217, test acc=0.842330, cost=0.407291, disagree_f1=0.738480, neural_f1=0.942968, agree_f1=0.535381, average_f1=0.738943
BATCH 410 training acc=0.625000, cost=0.709895, test acc=0.842687, cost=0.406611, disagree_f1=0.735224, neural_f1=0.944009, agree_f1=0.538436, average_f1=0.739223
BATCH 411 training acc=0.718750, cost=0.580334, test acc=0.837965, cost=0.414956, disagree_f1=0.723238, neural_f1=0.942861, agree_f1=0.540794, average_f1=0.735631
BATCH 412 training acc=0.687500, cost=0.724408, test acc=0.835204, cost=0.422099, disagree_f1=0.720758, neural_f1=0.941611, agree_f1=0.537872, average_f1=0.733414
BATCH 413 training acc=0.781250, cost=0.463245, test acc=0.832799, cost=0.429416, disagree_f1=0.721915, neural_f1=0.939644, agree_f1=0.533049, average_f1=0.731536
BATCH 414 training acc=0.656250, cost=0.732358, test acc=0.830394, cost=0.440189, disagree_f1=0.723118, neural_f1=0.938199, agree_f1=0.527644, average_f1=0.729654
BATCH 415 training acc=0.750000, cost=0.511745, test acc=0.822288, cost=0.458418, disagree_f1=0.716818, neural_f1=0.933683, agree_f1=0.518072, average_f1=0.722858
BATCH 416 training acc=0.781250, cost=0.490572, test acc=0.816676, cost=0.471357, disagree_f1=0.721138, neural_f1=0.928230, agree_f1=0.507226, average_f1=0.718865
BATCH 417 training acc=0.687500, cost=0.603683, test acc=0.816497, cost=0.472074, disagree_f1=0.724000, neural_f1=0.928214, agree_f1=0.499134, average_f1=0.717116
BATCH 418 training acc=0.718750, cost=0.560256, test acc=0.820417, cost=0.461488, disagree_f1=0.729607, neural_f1=0.930501, agree_f1=0.497619, average_f1=0.719242
BATCH 419 training acc=0.843750, cost=0.481582, test acc=0.825762, cost=0.447845, disagree_f1=0.736213, neural_f1=0.933087, agree_f1=0.495430, average_f1=0.721577
BATCH 420 training acc=0.687500, cost=0.594729, test acc=0.831285, cost=0.430807, disagree_f1=0.741248, neural_f1=0.936479, agree_f1=0.490654, average_f1=0.722794
BATCH 421 training acc=0.875000, cost=0.574596, test acc=0.837876, cost=0.409644, disagree_f1=0.749394, neural_f1=0.939796, agree_f1=0.482883, average_f1=0.724024
BATCH 422 training acc=0.843750, cost=0.571298, test acc=0.846072, cost=0.390562, disagree_f1=0.754682, neural_f1=0.944970, agree_f1=0.481366, average_f1=0.727006
BATCH 423 training acc=0.625000, cost=0.735156, test acc=0.849278, cost=0.382833, disagree_f1=0.756656, neural_f1=0.946319, agree_f1=0.488152, average_f1=0.730376
BATCH 424 training acc=0.750000, cost=0.602244, test acc=0.852218, cost=0.375215, disagree_f1=0.758297, neural_f1=0.947419, agree_f1=0.494787, average_f1=0.733501
BATCH 425 training acc=0.750000, cost=0.487941, test acc=0.853020, cost=0.371278, disagree_f1=0.753157, neural_f1=0.948459, agree_f1=0.509773, average_f1=0.737130
BATCH 426 training acc=0.812500, cost=0.513995, test acc=0.851595, cost=0.372125, disagree_f1=0.742631, neural_f1=0.949090, agree_f1=0.528634, average_f1=0.740119
BATCH 427 training acc=0.687500, cost=0.593613, test acc=0.851149, cost=0.374798, disagree_f1=0.739043, neural_f1=0.948800, agree_f1=0.545455, average_f1=0.744433
BATCH 428 training acc=0.750000, cost=0.545250, test acc=0.845181, cost=0.383153, disagree_f1=0.718913, neural_f1=0.948227, agree_f1=0.553826, average_f1=0.740322
BATCH 429 training acc=0.625000, cost=0.851508, test acc=0.832888, cost=0.401062, disagree_f1=0.685764, neural_f1=0.946473, agree_f1=0.547872, average_f1=0.726703
BATCH 430 training acc=0.781250, cost=0.446994, test acc=0.822288, cost=0.415194, disagree_f1=0.667537, neural_f1=0.941834, agree_f1=0.539180, average_f1=0.716183
BATCH 431 training acc=0.781250, cost=0.491462, test acc=0.822109, cost=0.420844, disagree_f1=0.678798, neural_f1=0.939449, agree_f1=0.537536, average_f1=0.718594
BATCH 432 training acc=0.781250, cost=0.582409, test acc=0.822911, cost=0.423401, disagree_f1=0.696059, neural_f1=0.935548, agree_f1=0.536095, average_f1=0.722567
BATCH 433 training acc=0.843750, cost=0.508814, test acc=0.825405, cost=0.429720, disagree_f1=0.718136, neural_f1=0.931766, agree_f1=0.534493, average_f1=0.728132
BATCH 434 training acc=0.656250, cost=0.759807, test acc=0.822555, cost=0.447158, disagree_f1=0.726350, neural_f1=0.925502, agree_f1=0.526800, average_f1=0.726218
BATCH 435 training acc=0.656250, cost=0.708283, test acc=0.815250, cost=0.465042, disagree_f1=0.723330, neural_f1=0.917842, agree_f1=0.518121, average_f1=0.719764
BATCH 436 training acc=0.781250, cost=0.504175, test acc=0.807679, cost=0.482827, disagree_f1=0.716319, neural_f1=0.911224, agree_f1=0.517207, average_f1=0.714917
BATCH 437 training acc=0.843750, cost=0.373790, test acc=0.800374, cost=0.497300, disagree_f1=0.706090, neural_f1=0.906586, agree_f1=0.517896, average_f1=0.710191
BATCH 438 training acc=0.750000, cost=0.540775, test acc=0.799394, cost=0.496468, disagree_f1=0.698887, neural_f1=0.908637, agree_f1=0.521403, average_f1=0.709642
BATCH 439 training acc=0.687500, cost=0.678470, test acc=0.806342, cost=0.481093, disagree_f1=0.704575, neural_f1=0.914995, agree_f1=0.525687, average_f1=0.715085
BATCH 440 training acc=0.906250, cost=0.353012, test acc=0.817745, cost=0.460325, disagree_f1=0.720513, neural_f1=0.921451, agree_f1=0.534130, average_f1=0.725365
BATCH 441 training acc=0.687500, cost=0.722405, test acc=0.830483, cost=0.431023, disagree_f1=0.734739, neural_f1=0.931372, agree_f1=0.533066, average_f1=0.733059
BATCH 442 training acc=0.812500, cost=0.512368, test acc=0.841529, cost=0.400943, disagree_f1=0.747434, neural_f1=0.938094, agree_f1=0.534859, average_f1=0.740129
BATCH 443 training acc=0.843750, cost=0.505466, test acc=0.848031, cost=0.383418, disagree_f1=0.754579, neural_f1=0.942514, agree_f1=0.530474, average_f1=0.742522
