BATCH 96 training acc=0.750000, cost=0.564067, test acc=0.728755, cost=0.714642, disagree_f1=0.608595, neural_f1=0.854117, agree_f1=0.448244, average_f1=0.636986
BATCH 97 training acc=0.656250, cost=0.914038, test acc=0.718422, cost=0.736638, disagree_f1=0.584422, neural_f1=0.850826, agree_f1=0.454271, average_f1=0.629840
BATCH 98 training acc=0.562500, cost=1.119285, test acc=0.720559, cost=0.678556, disagree_f1=0.557453, neural_f1=0.863612, agree_f1=0.458647, average_f1=0.626570
BATCH 99 training acc=0.656250, cost=0.612769, test acc=0.740780, cost=0.604973, disagree_f1=0.573312, neural_f1=0.882305, agree_f1=0.465354, average_f1=0.640324
BATCH 100 training acc=0.656250, cost=0.851048, test acc=0.779441, cost=0.526164, disagree_f1=0.633206, neural_f1=0.907762, agree_f1=0.477544, average_f1=0.672837
BATCH 101 training acc=0.906250, cost=0.439004, test acc=0.808213, cost=0.479173, disagree_f1=0.681404, neural_f1=0.924239, agree_f1=0.473333, average_f1=0.692992
BATCH 102 training acc=0.687500, cost=0.614306, test acc=0.821753, cost=0.458747, disagree_f1=0.710956, neural_f1=0.931677, agree_f1=0.428173, average_f1=0.690269
BATCH 103 training acc=0.718750, cost=0.700955, test acc=0.829859, cost=0.453448, disagree_f1=0.725842, neural_f1=0.935891, agree_f1=0.409227, average_f1=0.690320
BATCH 104 training acc=0.718750, cost=0.906405, test acc=0.827989, cost=0.463250, disagree_f1=0.727989, neural_f1=0.934503, agree_f1=0.388889, average_f1=0.683793
BATCH 105 training acc=0.625000, cost=0.806119, test acc=0.820773, cost=0.481645, disagree_f1=0.722862, neural_f1=0.929425, agree_f1=0.400996, average_f1=0.684428
BATCH 106 training acc=0.875000, cost=0.478034, test acc=0.815874, cost=0.493363, disagree_f1=0.719468, neural_f1=0.924822, agree_f1=0.423403, average_f1=0.689231
BATCH 107 training acc=0.656250, cost=0.753848, test acc=0.803225, cost=0.521814, disagree_f1=0.708386, neural_f1=0.915628, agree_f1=0.439863, average_f1=0.687959
BATCH 108 training acc=0.656250, cost=0.789069, test acc=0.788348, cost=0.558918, disagree_f1=0.690341, neural_f1=0.907807, agree_f1=0.453966, average_f1=0.684038
BATCH 109 training acc=0.593750, cost=0.752216, test acc=0.778550, cost=0.572349, disagree_f1=0.657265, neural_f1=0.907887, agree_f1=0.461300, average_f1=0.675484
BATCH 110 training acc=0.750000, cost=0.632003, test acc=0.780955, cost=0.559253, disagree_f1=0.635014, neural_f1=0.916050, agree_f1=0.464575, average_f1=0.671879
BATCH 111 training acc=0.781250, cost=0.708090, test acc=0.794584, cost=0.532829, disagree_f1=0.642599, neural_f1=0.924825, agree_f1=0.479787, average_f1=0.682404
BATCH 112 training acc=0.687500, cost=0.670441, test acc=0.807679, cost=0.511329, disagree_f1=0.663725, neural_f1=0.930035, agree_f1=0.493337, average_f1=0.695699
BATCH 113 training acc=0.718750, cost=0.602759, test acc=0.822288, cost=0.480810, disagree_f1=0.688149, neural_f1=0.935663, agree_f1=0.496815, average_f1=0.706876
BATCH 114 training acc=0.718750, cost=0.588032, test acc=0.825583, cost=0.468408, disagree_f1=0.692973, neural_f1=0.937172, agree_f1=0.495743, average_f1=0.708629
BATCH 115 training acc=0.750000, cost=0.579590, test acc=0.823356, cost=0.458588, disagree_f1=0.672346, neural_f1=0.938128, agree_f1=0.504148, average_f1=0.704874
BATCH 116 training acc=0.687500, cost=0.635492, test acc=0.815785, cost=0.463162, disagree_f1=0.645616, neural_f1=0.937249, agree_f1=0.505238, average_f1=0.696034
BATCH 117 training acc=0.781250, cost=0.699190, test acc=0.805184, cost=0.468266, disagree_f1=0.594426, neural_f1=0.938174, agree_f1=0.500703, average_f1=0.677768
BATCH 118 training acc=0.562500, cost=0.830488, test acc=0.791912, cost=0.482183, disagree_f1=0.542236, neural_f1=0.937103, agree_f1=0.496498, average_f1=0.658612
BATCH 119 training acc=0.656250, cost=0.648925, test acc=0.792268, cost=0.477039, disagree_f1=0.538092, neural_f1=0.937700, agree_f1=0.495543, average_f1=0.657111
BATCH 120 training acc=0.718750, cost=0.607366, test acc=0.795386, cost=0.478579, disagree_f1=0.559705, neural_f1=0.936906, agree_f1=0.499334, average_f1=0.665315
BATCH 121 training acc=0.687500, cost=0.529978, test acc=0.805363, cost=0.472891, disagree_f1=0.611776, neural_f1=0.936150, agree_f1=0.502980, average_f1=0.683635
