BATCH 86 training acc=0.500000, cost=0.776017, test acc=0.759487, cost=0.573525, disagree_f1=0.551961, neural_f1=0.914139, agree_f1=0.453074, average_f1=0.639725
BATCH 87 training acc=0.500000, cost=0.791318, test acc=0.764921, cost=0.562218, disagree_f1=0.577871, neural_f1=0.914994, agree_f1=0.447368, average_f1=0.646744
BATCH 88 training acc=0.843750, cost=0.553813, test acc=0.780153, cost=0.544828, disagree_f1=0.633020, neural_f1=0.916690, agree_f1=0.447681, average_f1=0.665797
BATCH 89 training acc=0.656250, cost=0.638675, test acc=0.789685, cost=0.525587, disagree_f1=0.655452, neural_f1=0.919243, agree_f1=0.447133, average_f1=0.673943
BATCH 90 training acc=0.718750, cost=0.619049, test acc=0.797167, cost=0.507687, disagree_f1=0.671938, neural_f1=0.922483, agree_f1=0.439204, average_f1=0.677875
BATCH 91 training acc=0.750000, cost=0.562616, test acc=0.801176, cost=0.498328, disagree_f1=0.680774, neural_f1=0.924378, agree_f1=0.434947, average_f1=0.680033
BATCH 92 training acc=0.781250, cost=0.672726, test acc=0.801978, cost=0.496811, disagree_f1=0.691104, neural_f1=0.924141, agree_f1=0.416963, average_f1=0.677403
BATCH 93 training acc=0.781250, cost=0.482451, test acc=0.804294, cost=0.496200, disagree_f1=0.706308, neural_f1=0.923937, agree_f1=0.391589, average_f1=0.673945
BATCH 94 training acc=0.718750, cost=0.810335, test acc=0.804828, cost=0.500842, disagree_f1=0.720379, neural_f1=0.922408, agree_f1=0.357670, average_f1=0.666819
BATCH 95 training acc=0.625000, cost=0.596166, test acc=0.808926, cost=0.489552, disagree_f1=0.725657, neural_f1=0.925244, agree_f1=0.326087, average_f1=0.658996
BATCH 96 training acc=0.656250, cost=0.596481, test acc=0.813201, cost=0.480345, disagree_f1=0.727468, neural_f1=0.928527, agree_f1=0.326899, average_f1=0.660965
BATCH 97 training acc=0.656250, cost=0.816830, test acc=0.814360, cost=0.475279, disagree_f1=0.724685, neural_f1=0.930191, agree_f1=0.341191, average_f1=0.665356
BATCH 98 training acc=0.687500, cost=0.664439, test acc=0.815785, cost=0.468439, disagree_f1=0.716185, neural_f1=0.932390, agree_f1=0.370539, average_f1=0.673038
BATCH 99 training acc=0.750000, cost=0.548032, test acc=0.815874, cost=0.460622, disagree_f1=0.696053, neural_f1=0.934559, agree_f1=0.403458, average_f1=0.678023
